feature,mean_importance
feature_13,-0.007815454349830511
feature_4,-0.004739550522590913
feature_16,-0.0030079466222627917
feature_6,-0.001324417970355951
feature_12,-0.0011567667731068932
feature_18,-0.0009603391901340352
feature_1,-0.0008412167210293253
feature_30,-0.0003514952875893207
feature_5,-0.0003174929799772852
feature_19,-0.00011309724377595587
feature_11,-7.209220098929326e-05
feature_25,-6.39715172955524e-05
feature_14,3.337943093750795e-06
feature_9,0.000134209614349462
feature_26,0.0003117471231228519
feature_7,0.00045913482704478816
feature_17,0.0014670133833010357
feature_15,0.0019238451741390272
feature_10,0.0032558875139631904
feature_3,0.0032713919194262584
feature_23,0.003324902646300498
feature_27,0.0036027612240087936
feature_21,0.00378220555580015
feature_29,0.00547787750732962
feature_20,0.0060516074016202515
feature_8,0.01177190632694991
feature_28,0.0145891476608157
feature_24,0.01932857930513198
feature_22,0.026477431887349513
feature_2,0.028498975563176702
