feature,mean_importance
feature_13,-0.0018747930940476519
feature_7,-0.0018266843622873903
feature_4,-0.0007644461656804484
feature_11,-0.0007619364721565498
feature_12,-0.0007238099104411512
feature_30,-0.0003536673699475482
feature_1,-0.00016835952441770566
feature_17,-0.00013746592260616003
feature_26,0.0002747854900104138
feature_18,0.0004993905357366455
feature_20,0.000675366137018548
feature_5,0.0008200334461506218
feature_9,0.0009104787622336089
feature_19,0.0013901441578152915
feature_10,0.0021909157912075178
feature_25,0.0021980285458510765
feature_15,0.0024868040719575506
feature_6,0.0027644023882305675
feature_14,0.0030336634170848704
feature_3,0.0031854366835156944
feature_29,0.003989700050264685
feature_16,0.005591802900381587
feature_2,0.010580494970134042
feature_27,0.014167302170872725
feature_8,0.016859390841881726
feature_24,0.018422469157591895
feature_28,0.020689866424169187
feature_21,0.021159706451976734
feature_23,0.029992579582344008
feature_22,0.05263140578746543
