feature,mean_importance
feature_7,0.0
feature_16,0.0
feature_1,5.551115123125783e-18
feature_26,5.551115123125783e-18
feature_3,5.551115123125783e-18
feature_19,5.551115123125783e-18
feature_6,1.1102230246251566e-17
feature_9,1.1102230246251566e-17
feature_18,1.6653345369377347e-17
feature_30,1.6653345369377347e-17
feature_15,0.00029445422571256483
feature_12,0.00040994539997274426
feature_25,0.0009075234539215327
feature_5,0.001310777128335988
feature_10,0.0016422261857192034
feature_29,0.0040314851544689225
feature_20,0.007816453941835888
feature_2,0.00945882256854395
feature_4,0.009973646953383958
feature_22,0.012745910762212525
feature_17,0.013252371067527014
feature_13,0.013440836579354336
feature_11,0.01822903289529985
feature_27,0.023464793078623637
feature_21,0.050942799770640604
feature_24,0.060041311043858826
feature_23,0.060050946011206904
feature_14,0.07144042478140204
feature_8,0.07782898280266383
feature_28,0.13740042379674033
