feature,mean_importance
feature_11,-0.0022997604403191597
feature_26,-0.0002096724630576724
feature_10,-6.532667710514445e-05
feature_13,-5.989025801666284e-05
feature_15,0.00010717825010649329
feature_12,0.00010846039235126656
feature_6,0.00045733996640838633
feature_30,0.0006093378063123072
feature_9,0.0007688597204125603
feature_3,0.0014570078861640481
feature_17,0.0014698233688929863
feature_4,0.0017163085772212803
feature_25,0.0018043276229610563
feature_18,0.002116960423730755
feature_5,0.0021433494933494348
feature_7,0.0023524127766042595
feature_29,0.0024712852266485148
feature_19,0.0024883623736515746
feature_1,0.002833162633270106
feature_27,0.0036497885292523236
feature_14,0.004066562934268313
feature_20,0.004226307700888878
feature_16,0.00725123116912898
feature_23,0.014353816366824318
feature_8,0.017506324734657134
feature_21,0.018026195408551327
feature_2,0.023083793627011323
feature_22,0.04638860660069098
feature_24,0.04784422909296776
feature_28,0.05104308181001964
