feature,mean_importance
feature_1,-0.005104704314766534
feature_13,-0.0043472449558553065
feature_7,-0.0031145944254077295
feature_6,-0.002895245215949749
feature_3,-0.002855906253382007
feature_19,-0.0026005862938938197
feature_17,-0.0009582414791960813
feature_26,-0.0007534062040422451
feature_23,-0.0004427290570715725
feature_12,-0.0003802875193474831
feature_30,-0.00015442204709135155
feature_25,-0.00010817076291884664
feature_9,0.0
feature_15,0.00014574537326448868
feature_11,0.0003608039589050871
feature_16,0.0003801075512147978
feature_18,0.00042825733560840075
feature_14,0.0009151984686272374
feature_27,0.0017919832331787955
feature_21,0.0018240617100562574
feature_10,0.002048962259779197
feature_20,0.008161470310961533
feature_29,0.008335428711800059
feature_5,0.009850269931567152
feature_8,0.010556512413888641
feature_2,0.011330227532239417
feature_4,0.01327876588265935
feature_28,0.0380412560969377
feature_22,0.040390950077976426
feature_24,0.05383453067784547
