feature,mean_importance
feature_28,-0.010780936970289371
feature_5,-0.009933162210652638
feature_3,-0.007807027521853504
feature_10,-0.00478348170183455
feature_15,-0.003752116126927302
feature_13,-0.0031379157362379506
feature_26,-0.0023079110634193793
feature_23,-0.0016429522460029184
feature_11,-0.0011342511930679839
feature_14,-0.0009372148945586412
feature_17,-0.00047968573463155474
feature_30,-0.00036665497037049186
feature_2,9.127074527232049e-05
feature_4,0.0004907821463044748
feature_18,0.0007633802020094504
feature_9,0.0008434415409179497
feature_7,0.0014787740167582996
feature_6,0.0016991147437134036
feature_16,0.002717498028218432
feature_20,0.0035723816691265926
feature_1,0.004716388396923882
feature_25,0.00540096655905139
feature_12,0.005419994148560872
feature_29,0.0074264472744202
feature_8,0.007467545026364775
feature_19,0.007692617908326543
feature_21,0.012198580829837718
feature_24,0.019131216435210603
feature_27,0.02003877818625936
feature_22,0.05683457228553871
