feature,mean_importance
feature_22,-0.0012623404410943451
feature_17,-0.00033813902936889463
feature_16,-1.6653345369377347e-17
feature_18,-1.1102230246251566e-17
feature_6,-1.1102230246251566e-17
feature_19,-5.551115123125783e-18
feature_3,0.0
feature_30,5.551115123125783e-18
feature_15,4.453714019538313e-05
feature_20,0.00035165491233020153
feature_10,0.0006600149853477511
feature_29,0.0008861944617175876
feature_9,0.0010391909633395036
feature_5,0.0012895559704686032
feature_13,0.0015475234542369153
feature_25,0.0021275970557757653
feature_11,0.003271955405807614
feature_12,0.004042913204485421
feature_26,0.0045505418214194125
feature_1,0.006582877822086652
feature_2,0.009969820343653046
feature_7,0.014857045375825845
feature_4,0.014918410901204188
feature_8,0.03201258351613186
feature_27,0.03736903296836665
feature_14,0.04003491835063017
feature_21,0.04359958198994842
feature_23,0.05622439453677051
feature_24,0.09545876832070592
feature_28,0.16691273415210248
