feature,mean_importance
feature_28,-0.01525046400464335
feature_5,-0.0066767048936044685
feature_11,-0.006327592410360944
feature_12,-0.003740640566897402
feature_6,-0.0029876201525943003
feature_13,-0.0026937839032708465
feature_9,-0.0022514728614013045
feature_19,-0.001141129968990684
feature_17,-0.0009794606693271258
feature_25,-0.0008576958675300727
feature_3,-0.00047681176957449777
feature_26,-0.000468437358263285
feature_15,-0.00031863472528442793
feature_10,1.9433147146130646e-05
feature_4,0.000475550672028896
feature_20,0.0008308442124714211
feature_14,0.0008732691677801607
feature_30,0.0008990366022793295
feature_18,0.001239323514917201
feature_29,0.0035650051340653023
feature_7,0.0035726175887217937
feature_1,0.003945549727228559
feature_23,0.00403126808671044
feature_2,0.005967176056934509
feature_16,0.010557412806935984
feature_8,0.012123530755792694
feature_24,0.018027762065529824
feature_21,0.024498286215547872
feature_27,0.030883807971364436
feature_22,0.044355364133135775
