feature,mean_importance
feature_9,-0.007230716062246253
feature_5,-0.00662029701108767
feature_13,-0.0032906351957175924
feature_29,-0.0022156244835151023
feature_7,-0.0019661158383236675
feature_15,-0.0011395057818093884
feature_20,-0.0010843489426491464
feature_18,-0.00044365537734555595
feature_1,-0.0002693471708110101
feature_28,0.0001834945227995849
feature_11,0.001035231835412259
feature_17,0.001321830287252107
feature_6,0.0014909276731676275
feature_26,0.0017451784883265598
feature_30,0.0017898739719588081
feature_14,0.002072967735146389
feature_3,0.002545680908096176
feature_19,0.0026254647922413442
feature_16,0.0028334906287575097
feature_2,0.0037117038946644283
feature_10,0.0038021058967417283
feature_23,0.003895084717448266
feature_25,0.005391725390430366
feature_8,0.008997112415703178
feature_12,0.010132027178689107
feature_4,0.011316312741744019
feature_27,0.011578638156335428
feature_21,0.012212590476646277
feature_24,0.021752153613328357
feature_22,0.03417880767207938
