feature,shap_importance
feature_22,1.5745102405577873
feature_23,1.147423915789711
feature_21,1.1032934815869135
feature_24,0.8895063344778864
feature_13,0.7821389697287955
feature_14,0.7070511015459322
feature_12,0.544586924806092
feature_2,0.2928827778476725
feature_1,0.2774182005587828
feature_27,0.2614574372354567
feature_3,0.25685141506584314
feature_4,0.1432251558797372
feature_26,0.1349279851203385
feature_11,0.12303528295507922
feature_7,0.042995393365178575
feature_29,0.0400866299340415
feature_28,0.03770953381587884
feature_6,0.01673183095897164
feature_8,0.012072064114262112
feature_9,0.0060847415462772
feature_25,0.0058553722597304595
feature_30,0.0021104580137286887
feature_5,0.0018768100404960018
feature_17,0.001007901202082673
feature_19,0.00033382473351215014
feature_10,0.00032035937387605776
feature_18,0.00018195169652016906
feature_16,0.00017091312126565444
feature_15,3.3502096308741586e-05
feature_20,6.72007342071733e-07
