feature,mean_importance
feature_8,-0.01968389848784392
feature_28,-0.016197146555193602
feature_7,-0.008341506846164254
feature_15,-0.0059277160580222645
feature_20,-0.005349581135499587
feature_5,-0.0045272393034980155
feature_26,-0.004388600332268333
feature_4,-0.003934683383618626
feature_18,-0.0031554891353217096
feature_30,-0.002836511774436895
feature_3,-0.0007116877694960166
feature_25,-0.0006147056261777472
feature_29,-0.00022610174027440366
feature_6,0.0
feature_9,0.0
feature_16,0.0007208806397131118
feature_17,0.0009013392035556178
feature_11,0.001278122732702569
feature_13,0.0035391883782893317
feature_14,0.004585091233396871
feature_10,0.00484741390550063
feature_2,0.005937281877753509
feature_23,0.006002568188132512
feature_19,0.006579692177812335
feature_27,0.007169128713674927
feature_12,0.009177413477640211
feature_1,0.009284837565009401
feature_21,0.01443682618568557
feature_24,0.01996487514419227
feature_22,0.020681609179739185
