Learner 1,counter
0.0985503414846691,0
0.0353358458228549,0
0.0336880625136786,0
0.032834753340979,0
0.027352202056435,0
0.0222072539884027,0
0.017824702408552,0
0.0125819033062051,0
0.0112581432536792,0
0.009019008825856,0
0.004958630879714,0
0.0035463329646133,0
0.0030655508455296,0
0.0025506112392325,0
0.0021841843139536,0
0.0012480905410264,0
0.0008536747228053,0
0.0008378278928867,0
0.0007349430509917,0
0.0006797617691834,0
0.0005332743501427,0
-2.583958075387527e-05,1
-0.0003483980825883,1
-0.0004024260229784,1
-0.0004695124619416,1
-0.0007679780032995,1
-0.0024982849783662,1
-0.0028057464834522,1
-0.0053123193464205,1
-0.0056225068938823,1
-0.0068498862768718,1
