feature,mean_importance
feature_7,-0.0005026405723347685
feature_17,-0.0003065196032319757
feature_18,-0.00012780367793644096
feature_10,0.00010552065293913671
feature_30,0.00025130560857050677
feature_26,0.0002788191401944994
feature_3,0.00029459372701455056
feature_13,0.00045025312711014507
feature_12,0.00046865705676878215
feature_11,0.0005876926833841597
feature_5,0.00073766569384595
feature_15,0.0011708296557437867
feature_25,0.001230398019823649
feature_9,0.0014147731391362128
feature_1,0.0014434730077597623
feature_14,0.0016890351293725723
feature_6,0.002071350932740762
feature_29,0.004269312661437797
feature_19,0.00433198014538802
feature_16,0.004527460553366227
feature_20,0.005299782610794821
feature_4,0.006835059135830811
feature_28,0.013810807762637486
feature_23,0.01412443434675335
feature_21,0.01651170772898176
feature_27,0.017017832798106935
feature_2,0.021627630152331212
feature_22,0.04000702403740604
feature_24,0.04061166867883097
feature_8,0.049394250848352285
