feature,mean_importance
feature_10,-0.0014833668590988683
feature_1,-0.0006111888593896594
feature_9,-5.3167640169915485e-05
feature_15,0.0003633687932088264
feature_18,0.00041137644661450176
feature_12,0.0004401614767351736
feature_5,0.0008915039026262158
feature_11,0.0013734178996260323
feature_3,0.0018897165135304539
feature_4,0.002237683179645765
feature_13,0.0027079714310383196
feature_17,0.0027839075058438507
feature_6,0.003096042657223712
feature_14,0.0031823350914313834
feature_20,0.0034855587849389968
feature_16,0.004417285050570053
feature_19,0.004500122023696311
feature_26,0.004874247110568546
feature_30,0.005042216944761519
feature_29,0.008221219124012817
feature_7,0.00872166429188757
feature_21,0.009436966017953194
feature_23,0.014242802266962248
feature_25,0.016875120080645213
feature_22,0.021357662326950216
feature_27,0.022272020188328377
feature_24,0.022681336342772286
feature_2,0.02786679290968417
feature_28,0.04083978276066503
feature_8,0.05425853052407276
