feature,weight
intercept,1.996554575825343
feature_1,0.30916910599138814
feature_2,0.368747188095178
feature_3,-0.2872645783103442
feature_4,0.16620030449508447
feature_5,-0.18297795693405955
feature_6,-0.42938223495529504
feature_7,-0.7219314517877781
feature_8,-0.38048583276564685
feature_9,-0.27678443194538244
feature_10,-0.06046706192489201
feature_11,-0.6228898676362923
feature_12,0.6881969727699006
feature_13,-1.2588689622413252
feature_14,-1.2384225879211879
feature_15,-0.015028703378309357
feature_16,-0.01191858104270103
feature_17,-0.045481517430319425
feature_18,-0.03534311174213179
feature_19,-0.05850905071079808
feature_20,-0.00032582695761338023
feature_21,-1.2219692537051448
feature_22,-1.911397105942625
feature_23,-1.2784430271350862
feature_24,-1.0487798322517832
feature_25,-0.3338597153163845
feature_26,-1.2380290810346386
feature_27,-1.7464760286368797
feature_28,-0.6871073271688087
feature_29,-0.8920207478500602
feature_30,-0.161914495319248
